A flashy, extrovert, or humorous reaction
Socialize with remarkable body language
Formally greets you, following traditions
Stands in a comfortable, welcoming position
Is engaged in an activity, unaware of your presence
Acts with pride, certainty or self-confidence
Despite desire, they are unable or unfit to interact
Doesn't recognize your presence, or is unfamiliar
Hides away, avoids direct eye contact with you
Feels threatened towards you, with certain concern
Despite unliking you, remains respectful and calm
Despite unliking you, remains respectful and calm
Despite unliking you, remains respectful and calm
Despite unliking you, remains respectful and calm
Despite unliking you, remains respectful and calm
Holds a safe distance, with concern toward you
Remains silent, looking at you with indifference
Acts defensively, looking carefully at your moves
An uncomfortable look, unwelcoming toward you
Ignores you intentionally, avoids conversation
